age,job,marital,education
54,blue-collar,married,primary
37,blue-collar,married,primary
35,technician,married,tertiary
56,blue-collar,married,secondary
44,blue-collar,single,primary
81,retired,married,primary
33,management,single,tertiary
59,retired,married,primary
59,retired,married,primary
59,retired,married,primary
36,admin.,married,tertiary
34,technician,married,tertiary
23,blue-collar,single,primary
67,retired,married,primary
37,blue-collar,married,secondary
50,blue-collar,married,primary
37,management,married,secondary
28,blue-collar,single,primary
26,blue-collar,married,secondary
45,technician,married,primary
57,housemaid,married,tertiary
60,retired,divorced,primary
54,blue-collar,married,primary
28,blue-collar,single,primary
24,technician,single,tertiary
31,blue-collar,married,secondary
34,blue-collar,married,secondary
44,blue-collar,single,primary
52,blue-collar,single,primary
42,services,married,secondary
48,management,married,tertiary
38,unemployed,married,tertiary
43,management,married,tertiary
50,technician,married,tertiary
35,self-employed,married,tertiary
34,management,married,tertiary
48,blue-collar,married,primary
59,blue-collar,divorced,secondary
36,blue-collar,married,secondary
40,technician,single,primary
53,management,divorced,tertiary
51,entrepreneur,married,primary
37,technician,divorced,secondary
45,blue-collar,married,secondary
34,blue-collar,single,secondary
45,self-employed,married,secondary
58,blue-collar,married,primary
47,management,married,primary
32,services,single,secondary
47,admin.,divorced,tertiary
58,self-employed,divorced,tertiary
32,management,married,tertiary
47,admin.,single,secondary
38,entrepreneur,single,tertiary
28,technician,single,tertiary
52,management,single,tertiary
31,management,married,tertiary
42,services,married,secondary
48,unemployed,married,secondary
45,entrepreneur,divorced,tertiary
48,management,divorced,tertiary
80,retired,divorced,primary
40,management,divorced,tertiary
25,blue-collar,single,secondary
40,management,married,tertiary
49,blue-collar,married,secondary
59,housemaid,married,primary
40,management,single,tertiary
33,blue-collar,divorced,secondary
34,blue-collar,divorced,primary
30,services,single,secondary
36,management,single,tertiary
33,blue-collar,married,tertiary
38,management,married,tertiary
41,blue-collar,married,secondary
31,unemployed,single,tertiary
30,management,single,tertiary
30,management,single,tertiary
51,entrepreneur,married,tertiary
50,admin.,married,secondary
47,blue-collar,married,primary
46,admin.,single,secondary
39,blue-collar,married,primary
36,blue-collar,married,secondary
50,housemaid,married,primary
43,management,married,tertiary
27,blue-collar,married,secondary
33,management,single,tertiary
47,blue-collar,married,primary
34,blue-collar,married,secondary
40,blue-collar,divorced,secondary
39,blue-collar,married,primary
27,admin.,single,secondary
29,management,married,tertiary
34,blue-collar,married,secondary
39,management,married,tertiary
58,retired,married,secondary
54,blue-collar,married,secondary
37,technician,married,secondary
32,technician,single,tertiary
55,blue-collar,married,primary
48,entrepreneur,married,secondary
39,services,married,secondary
36,management,single,tertiary
50,management,married,secondary
31,technician,single,secondary
36,services,single,secondary
37,admin.,married,secondary
44,management,married,secondary
55,retired,married,primary
30,admin.,single,tertiary
51,blue-collar,married,primary
57,retired,married,primary
24,technician,married,secondary
58,management,married,tertiary
38,admin.,married,secondary
36,technician,married,tertiary
40,blue-collar,divorced,primary
44,management,married,tertiary
55,unemployed,married,primary
24,admin.,single,secondary
32,self-employed,married,tertiary
39,blue-collar,single,secondary
51,blue-collar,married,primary
53,services,divorced,primary
52,blue-collar,divorced,primary
28,technician,single,tertiary
33,management,married,tertiary
53,management,divorced,tertiary
54,blue-collar,divorced,primary
37,blue-collar,married,secondary
35,blue-collar,married,secondary
35,services,married,secondary
37,blue-collar,married,secondary
51,housemaid,divorced,primary
53,admin.,married,secondary
40,technician,divorced,tertiary
33,management,single,secondary
55,entrepreneur,divorced,tertiary
50,management,single,tertiary
54,blue-collar,married,secondary
48,unemployed,married,secondary
32,admin.,divorced,secondary
33,management,single,tertiary
49,blue-collar,married,primary
32,blue-collar,single,secondary
36,admin.,single,secondary
60,retired,divorced,secondary
57,admin.,married,secondary
81,retired,married,primary
35,admin.,married,secondary
48,blue-collar,married,secondary
45,technician,married,secondary
67,retired,married,primary
33,technician,single,secondary
60,housemaid,married,primary
30,student,single,secondary
40,entrepreneur,single,secondary
50,housemaid,divorced,secondary
51,admin.,married,secondary
41,technician,divorced,secondary
43,technician,married,secondary
34,blue-collar,married,secondary
39,management,married,tertiary
36,admin.,married,tertiary
31,technician,single,tertiary
32,management,single,tertiary
43,blue-collar,married,primary
31,management,single,tertiary
42,blue-collar,married,primary
39,management,married,tertiary
49,management,married,tertiary
60,retired,married,secondary
38,blue-collar,married,secondary
59,technician,married,tertiary
68,retired,married,primary
34,blue-collar,married,primary
40,blue-collar,married,primary
48,services,divorced,secondary
33,blue-collar,single,primary
39,blue-collar,married,primary
34,management,single,tertiary
40,blue-collar,married,primary
20,student,single,secondary
59,retired,married,primary
40,management,married,tertiary
38,services,married,secondary
57,retired,married,secondary
35,admin.,single,secondary
56,retired,divorced,primary
57,technician,married,secondary
29,blue-collar,married,secondary
54,housemaid,married,primary
27,management,single,tertiary
34,management,married,tertiary
43,technician,divorced,secondary
31,management,single,tertiary
33,student,single,secondary
49,entrepreneur,married,tertiary
46,self-employed,married,tertiary
68,retired,married,secondary
77,management,married,tertiary
46,management,married,tertiary
27,management,single,tertiary
44,blue-collar,married,primary
45,blue-collar,married,primary
72,admin.,married,primary
31,admin.,single,secondary
45,management,married,tertiary
76,housemaid,divorced,primary
33,management,married,tertiary
32,technician,married,tertiary
54,blue-collar,married,primary
55,retired,married,primary
59,management,divorced,tertiary
34,admin.,single,primary
32,management,single,tertiary
60,housemaid,divorced,primary
26,technician,divorced,tertiary
52,retired,divorced,primary
37,blue-collar,married,primary
30,management,single,secondary
56,blue-collar,married,primary
56,retired,divorced,primary
32,entrepreneur,single,primary
37,admin.,married,tertiary
33,management,married,secondary
47,services,married,primary
35,admin.,single,secondary
36,management,single,tertiary
42,entrepreneur,married,tertiary
40,technician,married,secondary
32,management,divorced,tertiary
42,blue-collar,single,primary
51,housemaid,divorced,primary
29,admin.,single,secondary
35,self-employed,married,secondary
38,services,married,primary
67,management,married,tertiary
33,technician,married,secondary
44,blue-collar,divorced,primary
35,management,single,tertiary
37,technician,single,secondary
74,retired,married,primary
71,retired,married,secondary
32,technician,married,tertiary
57,housemaid,divorced,primary
33,blue-collar,married,primary
32,blue-collar,married,secondary
35,management,single,secondary
51,blue-collar,married,secondary
50,blue-collar,married,primary
32,technician,single,tertiary
59,retired,married,primary
31,self-employed,married,tertiary
57,management,divorced,tertiary
31,blue-collar,single,secondary
57,housemaid,married,primary
40,unemployed,married,primary
34,unknown,married,secondary
29,management,single,tertiary
38,technician,single,secondary
50,management,married,tertiary
41,blue-collar,divorced,primary
52,services,married,primary
29,blue-collar,single,secondary
31,self-employed,single,secondary
39,blue-collar,married,primary
28,admin.,single,tertiary
83,retired,married,primary
35,blue-collar,married,primary
42,blue-collar,single,primary
52,blue-collar,married,primary
51,entrepreneur,divorced,tertiary
79,retired,married,secondary
41,unemployed,single,primary
57,retired,married,primary
53,blue-collar,married,primary
45,entrepreneur,single,primary
40,management,married,secondary
53,admin.,married,tertiary
44,blue-collar,married,primary
30,services,married,tertiary
40,blue-collar,married,primary
27,blue-collar,single,primary
31,management,married,tertiary
38,blue-collar,divorced,primary
56,blue-collar,married,primary
36,admin.,married,secondary
50,management,married,secondary
32,services,married,secondary
46,blue-collar,married,primary
41,management,married,tertiary
40,management,single,tertiary
47,blue-collar,married,primary
36,blue-collar,married,primary
33,management,single,tertiary
52,services,divorced,secondary
30,unemployed,single,primary
34,blue-collar,married,secondary
35,blue-collar,married,primary
47,management,single,tertiary
25,blue-collar,single,primary
60,retired,married,primary
60,retired,married,tertiary
38,management,married,secondary
76,retired,divorced,primary
48,housemaid,married,secondary
61,retired,married,primary
28,unemployed,married,secondary
55,technician,married,tertiary
32,technician,married,secondary
59,blue-collar,married,secondary
42,technician,married,secondary
33,blue-collar,single,primary
46,management,single,tertiary
41,housemaid,divorced,primary
32,technician,single,tertiary
61,retired,divorced,primary
42,admin.,married,primary
45,technician,married,secondary
38,blue-collar,married,primary
31,technician,married,tertiary
45,retired,married,primary
41,blue-collar,divorced,primary
44,entrepreneur,married,secondary
27,blue-collar,single,secondary
43,blue-collar,divorced,primary
37,technician,married,secondary
29,admin.,single,secondary
49,blue-collar,married,primary
46,management,married,secondary
50,management,married,tertiary
48,entrepreneur,married,primary
50,technician,married,secondary
34,management,single,tertiary
35,self-employed,married,primary
59,retired,married,secondary
34,blue-collar,married,primary
56,management,divorced,tertiary
35,technician,married,secondary
28,admin.,married,secondary
36,technician,single,secondary
49,management,married,tertiary
36,management,married,secondary
44,services,divorced,secondary
34,blue-collar,married,primary
38,blue-collar,married,secondary
35,management,married,tertiary
34,technician,single,secondary
49,retired,married,primary
38,management,single,tertiary
36,management,married,tertiary
51,blue-collar,married,primary
30,technician,married,secondary
48,technician,single,secondary
36,management,divorced,tertiary
32,blue-collar,married,primary
32,blue-collar,married,secondary
30,technician,single,secondary
50,self-employed,divorced,tertiary
36,management,married,tertiary
29,management,single,tertiary
35,technician,single,tertiary
32,management,single,tertiary
51,technician,married,secondary
27,management,single,tertiary
52,self-employed,married,tertiary
28,admin.,single,secondary
45,blue-collar,divorced,primary
40,management,married,tertiary
33,admin.,married,secondary
27,services,single,secondary
36,entrepreneur,married,secondary
55,blue-collar,married,primary
39,blue-collar,married,secondary
37,management,married,tertiary
41,blue-collar,married,primary
40,blue-collar,divorced,secondary
42,blue-collar,divorced,primary
43,blue-collar,married,secondary
42,blue-collar,married,secondary
42,unemployed,married,primary
32,admin.,divorced,secondary
50,housemaid,married,primary
56,admin.,married,secondary
77,retired,married,primary
46,blue-collar,married,primary
28,unemployed,single,tertiary
55,blue-collar,married,primary
34,entrepreneur,single,secondary
56,self-employed,married,primary
54,housemaid,married,primary
28,management,single,tertiary
32,entrepreneur,single,tertiary
46,technician,married,primary
54,admin.,divorced,secondary
56,management,married,tertiary
35,blue-collar,married,primary
40,technician,married,secondary
26,unemployed,single,tertiary
54,entrepreneur,married,tertiary
37,blue-collar,married,primary
60,management,divorced,tertiary
44,retired,married,primary
33,management,married,primary
42,blue-collar,single,primary
41,technician,married,secondary
32,blue-collar,married,tertiary
34,technician,single,secondary
45,blue-collar,married,secondary
43,blue-collar,married,secondary
34,services,married,secondary
43,entrepreneur,married,tertiary
48,management,married,tertiary
44,management,married,tertiary
44,blue-collar,single,secondary
32,management,single,tertiary
31,blue-collar,single,primary
40,management,single,tertiary
31,services,single,secondary
23,management,single,tertiary
38,technician,married,tertiary
40,admin.,single,primary
31,technician,married,tertiary
44,self-employed,married,secondary
49,blue-collar,married,primary
48,self-employed,married,tertiary
60,management,single,tertiary
58,retired,single,tertiary
47,technician,married,tertiary
47,management,married,tertiary
35,management,single,tertiary
43,technician,single,tertiary
33,blue-collar,married,primary
59,admin.,married,secondary
39,blue-collar,married,primary
33,services,married,secondary
34,blue-collar,married,tertiary
29,admin.,single,secondary
39,blue-collar,married,secondary
29,management,single,tertiary
30,management,single,tertiary
34,management,single,tertiary
32,technician,single,secondary
39,blue-collar,married,primary
28,admin.,single,secondary
52,blue-collar,married,primary
30,technician,single,secondary
36,blue-collar,married,secondary
52,blue-collar,married,primary
54,management,married,tertiary
52,admin.,married,primary
34,admin.,married,tertiary
34,admin.,married,secondary
56,retired,divorced,primary
19,student,single,secondary
27,unknown,single,tertiary
49,housemaid,married,secondary
58,self-employed,married,secondary
37,blue-collar,married,secondary
41,self-employed,married,tertiary
31,management,single,tertiary
39,technician,married,secondary
51,blue-collar,married,primary
44,admin.,married,secondary
27,blue-collar,single,secondary
21,management,single,tertiary
55,management,married,tertiary
44,management,married,tertiary
37,admin.,married,secondary
36,technician,married,tertiary
39,blue-collar,single,primary
36,management,married,tertiary
52,blue-collar,married,secondary
27,admin.,married,secondary
35,management,married,tertiary
48,unemployed,married,primary
53,blue-collar,married,primary
37,technician,married,primary
56,housemaid,divorced,primary
32,management,single,tertiary
41,blue-collar,single,primary
31,admin.,single,secondary
33,entrepreneur,divorced,tertiary
37,management,married,primary
30,admin.,single,secondary
29,technician,single,secondary
33,student,divorced,secondary
34,blue-collar,single,primary
39,blue-collar,married,primary
40,blue-collar,divorced,secondary
28,student,single,tertiary
45,technician,married,secondary
48,management,married,primary
39,housemaid,married,secondary
31,services,single,secondary
59,blue-collar,married,secondary
50,management,married,tertiary
44,services,married,secondary
44,blue-collar,married,primary
19,student,single,secondary
42,admin.,married,tertiary
35,admin.,single,tertiary
72,retired,married,primary
31,blue-collar,divorced,primary
55,blue-collar,married,primary
41,technician,single,tertiary
41,blue-collar,single,secondary
34,blue-collar,single,primary
59,blue-collar,divorced,primary
31,technician,single,tertiary
31,blue-collar,married,primary
39,management,single,tertiary
54,self-employed,married,secondary
32,services,married,tertiary
68,retired,married,primary
38,management,married,tertiary
30,blue-collar,married,primary
41,management,married,tertiary
28,technician,single,secondary
42,services,married,primary
56,management,married,tertiary
40,blue-collar,married,primary
37,self-employed,married,secondary
32,management,single,tertiary
33,blue-collar,married,primary
50,services,married,secondary
60,blue-collar,married,primary
27,management,single,tertiary
45,management,married,tertiary
52,management,divorced,tertiary
37,management,married,tertiary
50,retired,married,primary
56,self-employed,married,secondary
35,blue-collar,married,secondary
58,management,married,tertiary
28,housemaid,divorced,primary
59,admin.,married,secondary
53,blue-collar,married,primary
54,management,married,tertiary
45,blue-collar,married,primary
38,management,divorced,tertiary
52,blue-collar,divorced,primary
37,housemaid,single,primary
40,blue-collar,married,primary
46,services,divorced,primary
39,technician,married,secondary
57,management,married,primary
35,services,married,secondary
39,services,married,secondary
38,technician,married,secondary
41,management,married,primary
37,admin.,divorced,tertiary
38,blue-collar,married,primary
39,blue-collar,married,secondary
37,management,divorced,tertiary
59,management,divorced,tertiary
56,blue-collar,divorced,primary
42,technician,married,secondary
28,student,single,tertiary
56,management,married,tertiary
30,management,single,tertiary
50,blue-collar,divorced,primary
36,management,married,tertiary
28,technician,single,tertiary
47,blue-collar,single,primary
49,blue-collar,married,primary
32,entrepreneur,married,secondary
36,management,married,secondary
37,blue-collar,married,secondary
39,self-employed,married,secondary
38,technician,married,secondary
39,blue-collar,married,primary
32,admin.,married,secondary
72,self-employed,married,tertiary
30,blue-collar,married,secondary
60,retired,married,primary
41,management,married,tertiary
35,technician,single,secondary
55,management,single,tertiary
37,services,single,secondary
33,blue-collar,married,secondary
73,retired,married,primary
40,management,married,tertiary
50,technician,married,secondary
41,admin.,married,secondary
42,blue-collar,divorced,primary
41,blue-collar,married,primary
46,blue-collar,single,primary
59,retired,married,secondary
29,management,single,tertiary
38,admin.,married,secondary
31,student,single,secondary
46,management,married,tertiary
47,management,divorced,tertiary
82,retired,married,primary
41,technician,married,tertiary
58,management,divorced,tertiary
28,admin.,single,secondary
39,blue-collar,married,primary
35,technician,married,tertiary
36,management,married,tertiary
54,management,married,tertiary
46,services,divorced,primary
40,blue-collar,married,primary
33,management,married,tertiary
36,management,married,tertiary
39,management,single,tertiary
52,admin.,divorced,secondary
46,services,married,primary
56,technician,married,tertiary
36,management,married,tertiary
33,blue-collar,married,primary
52,management,divorced,tertiary
42,blue-collar,single,primary
63,retired,married,secondary
46,management,single,secondary
52,management,single,tertiary
43,management,married,tertiary
42,management,married,tertiary
38,management,married,tertiary
46,management,single,primary
55,management,married,tertiary
35,technician,married,tertiary
51,blue-collar,married,primary
54,management,married,tertiary
26,student,single,secondary
42,blue-collar,divorced,primary
35,housemaid,married,primary
48,blue-collar,single,primary
40,blue-collar,married,primary
36,entrepreneur,married,tertiary
37,self-employed,married,secondary
34,blue-collar,married,secondary
37,management,married,tertiary
45,services,married,secondary
34,blue-collar,married,primary
44,admin.,married,secondary
52,retired,married,primary
36,management,married,tertiary
43,technician,married,secondary
50,management,married,tertiary
36,management,married,secondary
32,blue-collar,married,secondary
44,blue-collar,married,primary
41,blue-collar,divorced,primary
57,blue-collar,married,primary
46,management,married,primary
40,blue-collar,married,secondary
31,management,single,tertiary
59,retired,married,secondary
30,technician,single,secondary
31,management,single,tertiary
46,technician,divorced,secondary
47,entrepreneur,married,tertiary
52,services,divorced,primary
34,services,married,secondary
34,blue-collar,married,secondary
35,admin.,married,secondary
63,retired,married,primary
41,blue-collar,single,primary
48,technician,married,primary
30,technician,married,secondary
34,blue-collar,married,primary
28,technician,single,secondary
38,blue-collar,married,primary
60,management,married,tertiary
48,blue-collar,married,primary
50,blue-collar,married,secondary
35,management,married,tertiary
29,self-employed,single,tertiary
57,technician,divorced,secondary
51,management,divorced,tertiary
38,blue-collar,married,primary
35,services,divorced,primary
28,technician,single,tertiary
38,management,divorced,tertiary
39,management,single,tertiary
28,admin.,married,secondary
53,self-employed,married,tertiary
43,technician,married,secondary
32,student,single,tertiary
34,blue-collar,single,primary
63,retired,married,secondary
40,management,married,tertiary
44,services,married,secondary
49,blue-collar,married,primary
59,retired,married,primary
33,technician,married,secondary
31,technician,single,secondary
36,management,married,tertiary
45,blue-collar,married,primary
36,self-employed,married,tertiary
33,services,single,secondary
33,blue-collar,married,secondary
57,blue-collar,married,primary
43,blue-collar,married,primary
41,technician,married,secondary
31,blue-collar,single,secondary
54,technician,divorced,secondary
30,management,married,tertiary
36,blue-collar,married,primary
46,admin.,divorced,secondary
52,blue-collar,married,primary
29,management,married,tertiary
42,management,single,tertiary
50,management,married,tertiary
40,blue-collar,married,secondary
43,services,married,primary
53,management,married,tertiary
36,technician,married,tertiary
36,blue-collar,married,secondary
35,services,married,secondary
44,blue-collar,married,primary
44,blue-collar,married,secondary
35,services,single,primary
36,management,single,tertiary
36,blue-collar,married,primary
50,blue-collar,married,primary
32,technician,single,secondary
52,admin.,married,primary
59,technician,married,secondary
41,entrepreneur,married,secondary
32,blue-collar,married,secondary
29,management,married,tertiary
25,management,single,tertiary
44,unemployed,married,primary
37,management,married,tertiary
51,services,married,secondary
45,housemaid,divorced,tertiary
33,self-employed,single,primary
37,blue-collar,single,primary
33,admin.,divorced,secondary
54,self-employed,married,tertiary
26,blue-collar,married,primary
41,unemployed,married,primary
36,entrepreneur,married,tertiary
29,services,divorced,secondary
31,entrepreneur,single,tertiary
46,management,married,tertiary
54,technician,married,secondary
32,management,single,tertiary
60,admin.,divorced,secondary
50,blue-collar,married,primary
26,services,single,secondary
34,management,single,tertiary
32,housemaid,married,primary
60,retired,married,secondary
41,technician,married,secondary
40,entrepreneur,divorced,secondary
58,entrepreneur,married,primary
39,blue-collar,married,primary
48,blue-collar,married,primary
29,services,divorced,secondary
35,blue-collar,married,primary
28,management,single,tertiary
59,retired,married,secondary
30,blue-collar,married,primary
33,management,single,tertiary
45,blue-collar,single,primary
31,management,married,tertiary
43,blue-collar,married,secondary
42,blue-collar,single,primary
32,services,single,secondary
52,management,married,primary
45,housemaid,married,tertiary
40,technician,married,secondary
49,blue-collar,married,tertiary
80,retired,married,primary
38,entrepreneur,divorced,secondary
29,management,married,tertiary
32,management,single,tertiary
59,management,married,primary
52,blue-collar,single,primary
36,management,married,tertiary
40,technician,divorced,tertiary
55,management,divorced,tertiary
32,technician,married,secondary
59,retired,divorced,primary
28,services,married,primary
28,blue-collar,married,primary
33,technician,single,tertiary
36,blue-collar,married,primary
29,blue-collar,married,primary
35,blue-collar,divorced,primary
26,blue-collar,single,secondary
31,self-employed,married,tertiary
43,entrepreneur,married,tertiary
30,admin.,single,secondary
38,management,single,tertiary
52,management,married,tertiary
34,management,married,tertiary
42,blue-collar,married,primary
31,services,married,primary
35,blue-collar,divorced,primary
28,blue-collar,married,primary
47,blue-collar,married,primary
41,management,married,tertiary
43,management,married,tertiary
43,management,divorced,secondary
36,admin.,single,secondary
45,entrepreneur,married,tertiary
56,blue-collar,married,primary
43,services,married,secondary
47,blue-collar,married,primary
31,blue-collar,single,secondary
43,blue-collar,divorced,primary
44,blue-collar,divorced,primary
25,entrepreneur,married,tertiary
49,retired,married,secondary
41,management,divorced,tertiary
58,management,divorced,tertiary
34,blue-collar,single,secondary
26,self-employed,single,tertiary
59,self-employed,married,tertiary
59,management,divorced,tertiary
33,management,married,tertiary
29,unemployed,married,secondary
59,unemployed,divorced,secondary
50,management,married,tertiary
26,admin.,single,secondary
57,blue-collar,married,secondary
58,admin.,divorced,secondary
49,blue-collar,married,primary
32,management,married,tertiary
30,technician,single,secondary
47,technician,married,primary
66,retired,married,primary
53,services,married,secondary
56,housemaid,divorced,secondary
41,blue-collar,married,primary
57,blue-collar,single,primary
53,services,divorced,primary
48,technician,married,secondary
46,blue-collar,married,primary
39,management,married,tertiary
51,housemaid,married,primary
26,blue-collar,single,secondary
39,admin.,divorced,secondary
48,management,married,tertiary
55,housemaid,married,primary
31,blue-collar,divorced,primary
29,unemployed,single,secondary
42,technician,married,tertiary
27,entrepreneur,married,tertiary
45,blue-collar,divorced,primary
29,blue-collar,single,tertiary
49,blue-collar,married,primary
49,blue-collar,married,primary
26,blue-collar,divorced,secondary
26,management,single,tertiary
53,management,married,tertiary
40,management,divorced,tertiary
40,blue-collar,married,primary
33,management,single,tertiary
30,technician,divorced,secondary
59,blue-collar,married,secondary
40,management,married,tertiary
40,management,single,tertiary
29,services,married,tertiary
32,blue-collar,married,secondary
49,services,married,secondary
80,retired,married,primary
46,services,married,primary
29,services,single,secondary
30,blue-collar,single,primary
37,blue-collar,divorced,primary
43,services,married,primary
34,blue-collar,married,primary
34,blue-collar,married,secondary
46,services,married,secondary
49,management,married,tertiary
41,services,married,secondary
42,technician,married,secondary
30,services,single,primary
53,retired,divorced,secondary
34,technician,single,secondary
30,management,single,tertiary
42,blue-collar,married,primary
40,blue-collar,married,secondary
31,housemaid,married,primary
31,technician,married,tertiary
57,retired,married,primary
34,unemployed,single,secondary
31,admin.,married,secondary
54,blue-collar,married,primary
30,entrepreneur,married,primary
48,self-employed,divorced,tertiary
37,management,married,tertiary
27,unemployed,single,tertiary
38,management,divorced,tertiary
44,management,single,tertiary
36,management,single,secondary
35,management,divorced,tertiary
34,admin.,single,secondary
73,retired,married,primary
40,technician,married,tertiary
83,retired,married,tertiary
32,blue-collar,single,secondary
37,blue-collar,single,secondary
56,retired,married,secondary
50,blue-collar,married,primary
31,technician,married,tertiary
51,self-employed,single,secondary
27,technician,single,secondary
68,retired,divorced,primary
25,unemployed,single,secondary
47,admin.,married,secondary
45,management,single,tertiary
49,entrepreneur,divorced,primary
27,admin.,married,secondary
45,entrepreneur,single,tertiary
56,management,married,tertiary
39,technician,married,secondary
34,admin.,married,tertiary
31,management,single,tertiary
33,management,married,tertiary
34,unemployed,single,secondary
48,housemaid,married,tertiary
33,management,single,tertiary
41,blue-collar,married,primary
58,unemployed,married,secondary
39,blue-collar,married,primary
34,management,married,tertiary
30,blue-collar,married,primary
41,admin.,married,secondary
38,services,single,primary
49,blue-collar,married,secondary
45,management,married,tertiary
35,blue-collar,married,primary
26,technician,single,tertiary
58,retired,married,primary
55,admin.,married,secondary
56,management,married,tertiary
34,admin.,divorced,secondary
38,blue-collar,married,primary
56,management,divorced,tertiary
35,blue-collar,married,secondary
53,entrepreneur,divorced,tertiary
36,technician,single,secondary
36,admin.,single,secondary
45,technician,married,secondary
59,blue-collar,married,primary
39,housemaid,married,tertiary
33,management,single,secondary
34,management,single,tertiary
46,services,married,primary
46,blue-collar,married,secondary
55,management,married,tertiary
58,self-employed,married,tertiary
51,blue-collar,married,primary
37,blue-collar,married,primary
21,blue-collar,single,secondary
31,management,single,tertiary
57,technician,married,secondary
55,entrepreneur,divorced,secondary
45,admin.,married,secondary
70,retired,married,secondary
38,blue-collar,married,primary
36,admin.,married,secondary
35,admin.,married,secondary
